age,workclass,education,marital-status,occupation,race,gender,hours-per-week,income
40-50,Self-emp-not-inc,HS-grad,Married-civ-spouse,Sales,Asian-Pac-Islander,0,40-60,<=50K
40-50,Private,Some-college,Married-civ-spouse,Adm-clerical,White,0,20-40,>50K
40-50,Self-emp-inc,Bachelors,Married-civ-spouse,Tech-support,White,0,60-80,>50K
40-50,Private,Assoc-acdm,Never-married,Prof-specialty,White,1,20-40,<=50K
50-60,Self-emp-inc,Prof-school,Married-civ-spouse,Exec-managerial,White,0,80-100,>50K
50-60,Self-emp-inc,HS-grad,Married-civ-spouse,Exec-managerial,White,0,20-40,>50K
30-40,Private,10th,Separated,Handlers-cleaners,Black,0,20-40,<=50K
20-30,Private,11th,Married-civ-spouse,Other-service,White,0,20-40,<=50K
60-70,Private,HS-grad,Divorced,Transport-moving,White,0,20-40,>50K
20-30,Private,Prof-school,Married-civ-spouse,Prof-specialty,White,0,40-60,>50K
30-40,Private,7th-8th,Married-civ-spouse,Craft-repair,White,0,40-60,<=50K
20-30,Private,Bachelors,Never-married,Prof-specialty,White,1,40-60,<=50K
30-40,Private,Masters,Married-civ-spouse,Exec-managerial,White,0,40-60,>50K
20-30,Private,7th-8th,Married-civ-spouse,Farming-fishing,White,1,40-60,<=50K
40-50,Federal-gov,Some-college,Married-civ-spouse,Adm-clerical,White,0,20-40,<=50K
40-50,Private,Some-college,Married-civ-spouse,Other-service,White,0,20-40,>50K
20-30,Private,11th,Never-married,Sales,Amer-Indian-Eskimo,0,20-40,<=50K
30-40,Private,Bachelors,Never-married,Exec-managerial,White,1,40-60,<=50K
40-50,Private,Masters,Married-civ-spouse,Exec-managerial,White,0,40-60,>50K
50-60,Private,Doctorate,Widowed,Tech-support,White,0,20-40,>50K
50-60,Private,7th-8th,Married-civ-spouse,Adm-clerical,White,0,20-40,<=50K
20-30,Private,Bachelors,Married-civ-spouse,Other-service,White,0,20-40,<=50K
60-70,Private,Some-college,Widowed,Other-service,Black,1,0-20,<=50K
40-50,Federal-gov,Some-college,Married-civ-spouse,Craft-repair,White,0,20-40,>50K
40-50,Private,Some-college,Married-civ-spouse,Exec-managerial,White,0,40-60,>50K
30-40,Private,Masters,Never-married,Sales,White,1,40-60,<=50K
30-40,Private,Masters,Never-married,Prof-specialty,Black,0,40-60,>50K
60-70,Private,HS-grad,Divorced,Sales,White,1,20-40,<=50K
20-30,State-gov,Some-college,Separated,Prof-specialty,White,1,0-20,<=50K
20-30,Private,HS-grad,Never-married,Other-service,Black,1,0-20,<=50K
40-50,Private,Assoc-voc,Divorced,Exec-managerial,White,0,40-60,<=50K
40-50,Private,Some-college,Divorced,Adm-clerical,White,1,20-40,<=50K
40-50,Self-emp-not-inc,Assoc-voc,Separated,Exec-managerial,White,1,20-40,<=50K
30-40,Private,11th,Married-civ-spouse,Craft-repair,White,0,20-40,>50K
20-30,Private,Bachelors,Never-married,Prof-specialty,Asian-Pac-Islander,0,40-60,<=50K
40-50,Private,Some-college,Married-civ-spouse,Craft-repair,Black,0,20-40,>50K
40-50,State-gov,Bachelors,Married-civ-spouse,Adm-clerical,White,0,60-80,<=50K
30-40,Local-gov,Masters,Married-civ-spouse,Prof-specialty,White,0,40-60,>50K
20-30,Private,Bachelors,Never-married,Exec-managerial,Black,1,20-40,<=50K
40-50,Private,Masters,Married-civ-spouse,Prof-specialty,White,0,60-80,<=50K
40-50,Private,Some-college,Divorced,Craft-repair,White,0,40-60,<=50K
0-20,Private,Some-college,Never-married,Adm-clerical,White,1,0-20,<=50K
80-90,Private,Some-college,Divorced,Prof-specialty,White,1,0-20,<=50K
40-50,Private,Bachelors,Never-married,Sales,White,0,20-40,>50K
40-50,Local-gov,Masters,Never-married,Prof-specialty,White,1,40-60,<=50K
20-30,Local-gov,Some-college,Never-married,Craft-repair,White,0,20-40,<=50K
30-40,State-gov,HS-grad,Married-civ-spouse,Other-service,White,0,20-40,<=50K
40-50,Private,HS-grad,Married-civ-spouse,Other-service,White,0,20-40,<=50K
50-60,Private,Assoc-voc,Never-married,Exec-managerial,White,0,20-40,<=50K
30-40,Self-emp-not-inc,Some-college,Never-married,Prof-specialty,Black,1,40-60,>50K
30-40,Private,Bachelors,Never-married,Prof-specialty,White,0,20-40,<=50K
50-60,Private,HS-grad,Married-civ-spouse,Craft-repair,White,0,20-40,>50K
0-20,State-gov,HS-grad,Never-married,Adm-clerical,Black,1,0-20,<=50K
30-40,Private,10th,Married-civ-spouse,Transport-moving,White,0,40-60,<=50K
30-40,Private,Bachelors,Never-married,Exec-managerial,White,1,40-60,<=50K
40-50,Private,Masters,Married-civ-spouse,Prof-specialty,White,0,40-60,>50K
0-20,Private,Some-college,Never-married,Sales,White,1,0-20,<=50K
50-60,Local-gov,HS-grad,Divorced,Exec-managerial,Amer-Indian-Eskimo,0,0-20,<=50K
30-40,Private,Assoc-voc,Divorced,Prof-specialty,White,1,20-40,<=50K
20-30,Private,Bachelors,Never-married,Tech-support,White,0,20-40,<=50K
30-40,Private,Assoc-voc,Separated,Adm-clerical,White,1,20-40,<=50K
30-40,Private,HS-grad,Married-civ-spouse,Craft-repair,White,0,60-80,<=50K
30-40,Private,HS-grad,Married-civ-spouse,Farming-fishing,White,0,60-80,<=50K
40-50,Private,Bachelors,Divorced,Prof-specialty,White,1,20-40,<=50K
30-40,Self-emp-not-inc,Bachelors,Married-civ-spouse,Sales,White,0,20-40,<=50K
20-30,Private,HS-grad,Never-married,Exec-managerial,White,0,40-60,<=50K
0-20,Private,11th,Never-married,Craft-repair,White,0,0-20,<=50K
40-50,Private,Some-college,Never-married,Exec-managerial,White,1,20-40,<=50K
50-60,Local-gov,Masters,Married-civ-spouse,Prof-specialty,White,0,40-60,>50K
20-30,Private,HS-grad,Never-married,Other-service,Black,0,20-40,<=50K
20-30,Private,Some-college,Never-married,Adm-clerical,Black,1,20-40,<=50K
40-50,State-gov,HS-grad,Married-civ-spouse,Farming-fishing,White,0,20-40,<=50K
30-40,Self-emp-inc,HS-grad,Married-civ-spouse,Transport-moving,White,0,40-60,<=50K
40-50,Private,HS-grad,Married-civ-spouse,Sales,White,0,60-80,<=50K
30-40,Private,Assoc-acdm,Married-civ-spouse,Craft-repair,White,0,20-40,>50K
50-60,State-gov,10th,Widowed,Other-service,White,1,20-40,<=50K
30-40,Federal-gov,Masters,Married-civ-spouse,Other-service,Black,0,20-40,<=50K
40-50,Private,Some-college,Divorced,Exec-managerial,White,1,20-40,<=50K
30-40,Private,12th,Married-civ-spouse,Handlers-cleaners,White,0,20-40,<=50K
20-30,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,White,1,20-40,<=50K
20-30,Local-gov,Bachelors,Never-married,Prof-specialty,White,1,40-60,<=50K
50-60,Private,Assoc-voc,Married-civ-spouse,Machine-op-inspct,White,0,20-40,<=50K
70-80,Local-gov,HS-grad,Married-civ-spouse,Sales,White,0,0-20,<=50K
40-50,Private,HS-grad,Married-civ-spouse,Craft-repair,White,0,20-40,<=50K
50-60,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,White,1,20-40,<=50K
30-40,Private,HS-grad,Never-married,Adm-clerical,White,0,20-40,<=50K
40-50,Local-gov,HS-grad,Married-civ-spouse,Exec-managerial,White,0,20-40,<=50K
40-50,Private,Bachelors,Married-civ-spouse,Exec-managerial,White,0,40-60,>50K
40-50,Private,Assoc-voc,Married-civ-spouse,Prof-specialty,White,0,20-40,<=50K
50-60,Private,Bachelors,Divorced,Exec-managerial,White,0,40-60,>50K
40-50,Private,Some-college,Married-civ-spouse,Prof-specialty,White,1,20-40,>50K
30-40,Private,HS-grad,Married-civ-spouse,Craft-repair,White,0,40-60,>50K
40-50,Private,Some-college,Married-civ-spouse,Exec-managerial,White,0,40-60,>50K
40-50,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,White,0,80-100,<=50K
20-30,Private,HS-grad,Never-married,Adm-clerical,White,1,20-40,<=50K
40-50,Private,HS-grad,Married-civ-spouse,Transport-moving,White,0,20-40,>50K
40-50,Private,Bachelors,Married-civ-spouse,Sales,White,0,40-60,>50K
50-60,Self-emp-inc,Assoc-voc,Married-civ-spouse,Exec-managerial,White,0,40-60,<=50K
20-30,Private,Some-college,Married-civ-spouse,Prof-specialty,White,0,20-40,<=50K
50-60,Private,Bachelors,Married-civ-spouse,Exec-managerial,White,0,60-80,>50K
30-40,Private,HS-grad,Divorced,Machine-op-inspct,White,1,20-40,<=50K
20-30,Private,HS-grad,Separated,Craft-repair,White,0,40-60,<=50K
20-30,Private,HS-grad,Married-civ-spouse,Adm-clerical,White,0,20-40,<=50K
20-30,Private,Bachelors,Never-married,Exec-managerial,White,1,20-40,<=50K
40-50,Private,12th,Widowed,Handlers-cleaners,Asian-Pac-Islander,0,20-40,<=50K
30-40,Private,Bachelors,Never-married,Exec-managerial,White,1,20-40,<=50K
20-30,Private,Bachelors,Married-civ-spouse,Sales,White,1,40-60,<=50K
20-30,Private,Bachelors,Never-married,Sales,White,1,20-40,<=50K
60-70,Local-gov,Doctorate,Married-civ-spouse,Protective-serv,White,0,40-60,>50K
50-60,Local-gov,Prof-school,Married-civ-spouse,Prof-specialty,White,0,20-40,>50K
40-50,Private,10th,Divorced,Sales,White,1,20-40,<=50K
20-30,Private,Some-college,Never-married,Prof-specialty,White,0,0-20,<=50K
20-30,Private,HS-grad,Married-civ-spouse,Transport-moving,White,0,40-60,<=50K
30-40,Private,Masters,Never-married,Exec-managerial,White,0,20-40,>50K
20-30,Private,Masters,Married-civ-spouse,Adm-clerical,White,1,0-20,>50K
30-40,Private,Assoc-acdm,Married-civ-spouse,Exec-managerial,White,0,40-60,>50K
30-40,Private,HS-grad,Married-civ-spouse,Sales,White,0,40-60,<=50K
40-50,Private,HS-grad,Married-civ-spouse,Adm-clerical,White,1,0-20,<=50K
50-60,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,White,0,20-40,>50K
30-40,Private,Bachelors,Married-civ-spouse,Sales,White,0,40-60,>50K
30-40,Private,HS-grad,Divorced,Craft-repair,White,0,20-40,<=50K
50-60,Private,10th,Divorced,Other-service,White,1,60-80,<=50K
40-50,Private,Bachelors,Never-married,Prof-specialty,White,1,40-60,<=50K
0-20,Private,Some-college,Never-married,Sales,White,0,20-40,<=50K
30-40,Private,Prof-school,Married-civ-spouse,Prof-specialty,Asian-Pac-Islander,0,20-40,<=50K
30-40,Private,HS-grad,Married-civ-spouse,Sales,White,0,20-40,<=50K
20-30,Private,Bachelors,Never-married,Prof-specialty,Black,0,20-40,<=50K
30-40,Private,HS-grad,Divorced,Adm-clerical,White,1,20-40,<=50K
30-40,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,White,0,20-40,>50K
30-40,Private,HS-grad,Married-civ-spouse,Prof-specialty,White,0,20-40,<=50K
30-40,Self-emp-not-inc,Some-college,Married-civ-spouse,Craft-repair,White,0,20-40,<=50K
30-40,Private,Some-college,Never-married,Sales,White,0,20-40,<=50K
50-60,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,White,0,20-40,<=50K
0-20,Private,HS-grad,Never-married,Other-service,White,1,20-40,<=50K
60-70,Self-emp-not-inc,Some-college,Married-civ-spouse,Craft-repair,White,0,0-20,<=50K
40-50,Self-emp-not-inc,Masters,Married-civ-spouse,Sales,White,0,40-60,<=50K
20-30,Private,Bachelors,Never-married,Sales,White,0,40-60,<=50K
30-40,Local-gov,Assoc-acdm,Divorced,Exec-managerial,Asian-Pac-Islander,1,20-40,<=50K
50-60,Private,Assoc-voc,Divorced,Other-service,Asian-Pac-Islander,1,20-40,<=50K
50-60,Private,7th-8th,Married-civ-spouse,Transport-moving,White,0,40-60,>50K
30-40,State-gov,HS-grad,Married-civ-spouse,Protective-serv,Amer-Indian-Eskimo,0,20-40,<=50K
0-20,Private,Some-college,Never-married,Other-service,White,1,20-40,<=50K
20-30,Private,HS-grad,Married-civ-spouse,Tech-support,Asian-Pac-Islander,1,40-60,>50K
20-30,Private,HS-grad,Never-married,Adm-clerical,Black,1,20-40,<=50K
30-40,Local-gov,Bachelors,Divorced,Prof-specialty,White,1,40-60,<=50K
20-30,Private,Some-college,Divorced,Adm-clerical,White,1,0-20,<=50K
30-40,Private,HS-grad,Never-married,Craft-repair,Black,0,20-40,<=50K
50-60,Private,HS-grad,Divorced,Craft-repair,White,1,20-40,<=50K
40-50,Private,Some-college,Married-civ-spouse,Exec-managerial,White,0,40-60,>50K
0-20,Private,HS-grad,Never-married,Exec-managerial,Asian-Pac-Islander,1,0-20,<=50K
30-40,Private,11th,Married-civ-spouse,Craft-repair,White,0,40-60,<=50K
30-40,Self-emp-inc,HS-grad,Divorced,Sales,White,0,40-60,>50K
20-30,Private,Bachelors,Never-married,Handlers-cleaners,White,0,20-40,<=50K
50-60,Self-emp-not-inc,HS-grad,Married-civ-spouse,Sales,White,0,0-20,<=50K
50-60,Private,7th-8th,Married-civ-spouse,Transport-moving,White,0,40-60,<=50K
0-20,Private,HS-grad,Never-married,Other-service,White,1,0-20,<=50K
20-30,Private,HS-grad,Separated,Other-service,White,1,20-40,<=50K
40-50,Self-emp-not-inc,Bachelors,Divorced,Craft-repair,White,0,0-20,>50K
50-60,Private,HS-grad,Married-civ-spouse,Prof-specialty,White,1,20-40,>50K
60-70,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,White,0,0-20,<=50K
20-30,Private,HS-grad,Never-married,Handlers-cleaners,White,0,20-40,<=50K
30-40,Local-gov,Some-college,Married-civ-spouse,Transport-moving,Black,0,20-40,>50K
20-30,Private,HS-grad,Married-civ-spouse,Craft-repair,White,0,40-60,<=50K
40-50,Private,7th-8th,Married-civ-spouse,Transport-moving,White,0,20-40,<=50K
30-40,Federal-gov,HS-grad,Married-civ-spouse,Craft-repair,White,1,20-40,>50K
30-40,Private,HS-grad,Married-civ-spouse,Transport-moving,Black,0,40-60,<=50K
20-30,Local-gov,HS-grad,Married-civ-spouse,Protective-serv,Black,0,20-40,<=50K
30-40,Private,Some-college,Divorced,Other-service,White,1,20-40,<=50K
20-30,Private,Bachelors,Never-married,Prof-specialty,Asian-Pac-Islander,0,40-60,<=50K
50-60,Private,12th,Married-civ-spouse,Craft-repair,White,0,20-40,<=50K
20-30,Private,Prof-school,Married-civ-spouse,Prof-specialty,White,0,60-80,>50K
20-30,Private,HS-grad,Never-married,Handlers-cleaners,White,1,20-40,<=50K
50-60,Private,Some-college,Married-civ-spouse,Prof-specialty,White,0,40-60,>50K
50-60,Private,Bachelors,Divorced,Tech-support,White,0,20-40,<=50K
30-40,Federal-gov,Masters,Never-married,Adm-clerical,White,0,40-60,<=50K
40-50,Private,Assoc-voc,Married-civ-spouse,Adm-clerical,White,0,40-60,<=50K
30-40,Private,Assoc-voc,Married-civ-spouse,Sales,White,0,40-60,>50K
50-60,Self-emp-not-inc,Bachelors,Married-civ-spouse,Sales,White,0,20-40,>50K
0-20,Private,9th,Never-married,Craft-repair,White,0,0-20,<=50K
20-30,Private,11th,Separated,Craft-repair,White,0,20-40,<=50K
20-30,Private,HS-grad,Divorced,Machine-op-inspct,Black,0,20-40,<=50K
30-40,Private,HS-grad,Never-married,Machine-op-inspct,White,0,20-40,<=50K
40-50,Self-emp-inc,HS-grad,Married-civ-spouse,Exec-managerial,White,0,20-40,>50K
50-60,Private,Assoc-voc,Married-civ-spouse,Prof-specialty,White,0,20-40,>50K
30-40,Private,Bachelors,Never-married,Tech-support,White,1,20-40,<=50K
30-40,Private,Masters,Married-civ-spouse,Prof-specialty,White,0,40-60,>50K
40-50,Local-gov,Masters,Married-civ-spouse,Exec-managerial,White,0,40-60,>50K
20-30,Private,HS-grad,Never-married,Machine-op-inspct,White,0,20-40,<=50K
70-80,Self-emp-inc,Some-college,Divorced,Exec-managerial,White,1,20-40,<=50K
30-40,Private,Some-college,Married-civ-spouse,Protective-serv,White,0,20-40,<=50K
60-70,Private,HS-grad,Widowed,Sales,White,1,0-20,<=50K
20-30,Private,Some-college,Never-married,Sales,White,1,40-60,<=50K
30-40,Private,Prof-school,Married-civ-spouse,Prof-specialty,White,0,40-60,>50K
50-60,Private,HS-grad,Married-civ-spouse,Craft-repair,White,0,20-40,<=50K
20-30,Private,Some-college,Never-married,Craft-repair,White,0,20-40,<=50K
60-70,Self-emp-not-inc,HS-grad,Widowed,Farming-fishing,White,0,20-40,<=50K
40-50,Local-gov,Masters,Married-civ-spouse,Prof-specialty,White,1,20-40,>50K
50-60,Private,HS-grad,Separated,Priv-house-serv,White,1,20-40,<=50K
30-40,Private,Assoc-voc,Never-married,Adm-clerical,Black,1,20-40,<=50K
50-60,Private,Assoc-acdm,Divorced,Prof-specialty,White,0,20-40,<=50K
30-40,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,White,0,20-40,<=50K
40-50,Private,HS-grad,Married-civ-spouse,Adm-clerical,White,0,20-40,<=50K
60-70,Private,HS-grad,Married-civ-spouse,Sales,White,0,40-60,<=50K
30-40,Private,HS-grad,Married-civ-spouse,Craft-repair,White,0,20-40,<=50K
20-30,Private,HS-grad,Never-married,Other-service,White,1,20-40,<=50K
40-50,Local-gov,Masters,Divorced,Other-service,White,0,20-40,<=50K
30-40,Private,Bachelors,Never-married,Prof-specialty,White,0,20-40,<=50K
30-40,Private,Bachelors,Divorced,Prof-specialty,White,1,20-40,<=50K
30-40,Private,Bachelors,Married-civ-spouse,Prof-specialty,White,0,40-60,<=50K
40-50,Private,Bachelors,Divorced,Adm-clerical,Asian-Pac-Islander,0,20-40,<=50K
30-40,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,White,0,40-60,>50K
30-40,State-gov,Bachelors,Never-married,Adm-clerical,White,0,20-40,<=50K
40-50,Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,White,0,0-20,<=50K
30-40,Private,HS-grad,Divorced,Handlers-cleaners,White,0,20-40,<=50K
50-60,Private,11th,Married-civ-spouse,Handlers-cleaners,Black,0,20-40,<=50K
20-30,Private,Bachelors,Married-civ-spouse,Prof-specialty,Black,1,20-40,<=50K
30-40,Private,Masters,Married-civ-spouse,Exec-managerial,White,1,20-40,<=50K
40-50,Private,9th,Married-spouse-absent,Other-service,Black,1,0-20,<=50K
50-60,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,White,0,40-60,>50K
30-40,Private,Masters,Never-married,Prof-specialty,White,1,40-60,>50K
40-50,Private,Bachelors,Married-civ-spouse,Exec-managerial,White,0,20-40,>50K
30-40,Private,Some-college,Married-civ-spouse,Exec-managerial,Black,0,60-80,>50K
20-30,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Asian-Pac-Islander,0,20-40,>50K
20-30,Private,Bachelors,Never-married,Adm-clerical,White,1,20-40,<=50K
30-40,Private,Assoc-acdm,Never-married,Sales,Black,0,40-60,<=50K
30-40,Private,Assoc-voc,Married-civ-spouse,Craft-repair,Asian-Pac-Islander,0,20-40,>50K
30-40,Private,7th-8th,Married-civ-spouse,Transport-moving,Amer-Indian-Eskimo,0,40-60,<=50K
20-30,Self-emp-not-inc,HS-grad,Never-married,Farming-fishing,White,0,20-40,<=50K
30-40,Private,HS-grad,Never-married,Machine-op-inspct,White,0,20-40,<=50K
30-40,Private,11th,Married-civ-spouse,Sales,White,0,40-60,<=50K
40-50,Self-emp-not-inc,Masters,Divorced,Exec-managerial,White,1,40-60,>50K
30-40,Private,Doctorate,Married-civ-spouse,Prof-specialty,White,0,40-60,>50K
50-60,Private,HS-grad,Separated,Other-service,Black,1,0-20,<=50K
30-40,Federal-gov,9th,Married-civ-spouse,Farming-fishing,Black,0,20-40,<=50K
40-50,Private,11th,Married-civ-spouse,Transport-moving,White,0,20-40,<=50K
50-60,Private,HS-grad,Divorced,Tech-support,White,1,20-40,<=50K
50-60,Local-gov,Bachelors,Married-civ-spouse,Tech-support,White,0,20-40,>50K
0-20,Private,HS-grad,Never-married,Craft-repair,White,0,20-40,<=50K
30-40,Private,HS-grad,Divorced,Exec-managerial,White,0,60-80,<=50K
40-50,Private,HS-grad,Married-civ-spouse,Craft-repair,White,0,20-40,<=50K
20-30,Local-gov,Assoc-acdm,Never-married,Protective-serv,White,0,40-60,<=50K
0-20,Private,Some-college,Never-married,Sales,Black,0,40-60,<=50K
40-50,Private,Bachelors,Divorced,Exec-managerial,White,0,20-40,<=50K
20-30,Federal-gov,Some-college,Married-civ-spouse,Adm-clerical,White,0,20-40,<=50K
20-30,State-gov,Some-college,Married-civ-spouse,Other-service,Black,0,0-20,<=50K
40-50,Private,11th,Never-married,Machine-op-inspct,White,0,20-40,<=50K
20-30,Private,Some-college,Never-married,Machine-op-inspct,White,0,20-40,<=50K
0-20,Private,HS-grad,Married-AF-spouse,Adm-clerical,White,1,20-40,<=50K
30-40,Private,Some-college,Married-civ-spouse,Sales,White,0,20-40,>50K
40-50,Self-emp-not-inc,Assoc-acdm,Married-civ-spouse,Prof-specialty,White,0,20-40,<=50K
30-40,Private,9th,Married-civ-spouse,Machine-op-inspct,White,0,40-60,<=50K
50-60,Self-emp-not-inc,Bachelors,Married-civ-spouse,Prof-specialty,White,0,20-40,<=50K
20-30,Private,Bachelors,Married-civ-spouse,Tech-support,White,0,40-60,<=50K
40-50,Private,HS-grad,Separated,Adm-clerical,White,1,20-40,<=50K
20-30,Private,HS-grad,Never-married,Handlers-cleaners,White,0,20-40,<=50K
50-60,Federal-gov,Bachelors,Married-civ-spouse,Prof-specialty,Black,0,20-40,>50K
50-60,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,White,0,20-40,<=50K
40-50,Private,Masters,Divorced,Exec-managerial,White,1,20-40,<=50K
40-50,State-gov,Assoc-voc,Married-civ-spouse,Craft-repair,White,0,20-40,<=50K
20-30,Private,Assoc-voc,Never-married,Prof-specialty,White,0,40-60,<=50K
20-30,Private,Some-college,Married-civ-spouse,Exec-managerial,Other,1,20-40,<=50K
0-20,Private,HS-grad,Never-married,Other-service,White,1,20-40,<=50K
40-50,Private,Prof-school,Married-civ-spouse,Prof-specialty,White,1,40-60,>50K
40-50,Federal-gov,Bachelors,Divorced,Exec-managerial,White,0,40-60,>50K
40-50,Self-emp-inc,HS-grad,Divorced,Exec-managerial,White,0,40-60,<=50K
40-50,Private,Some-college,Married-civ-spouse,Tech-support,White,0,20-40,>50K
40-50,Private,5th-6th,Married-civ-spouse,Machine-op-inspct,White,0,20-40,<=50K
30-40,Private,Assoc-voc,Married-civ-spouse,Other-service,White,0,20-40,<=50K
40-50,Private,HS-grad,Married-civ-spouse,Adm-clerical,White,0,40-60,<=50K
20-30,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,White,0,20-40,<=50K
20-30,Private,Bachelors,Married-civ-spouse,Sales,White,0,20-40,<=50K
40-50,Private,HS-grad,Married-civ-spouse,Transport-moving,White,0,20-40,<=50K
40-50,Private,Doctorate,Married-civ-spouse,Prof-specialty,White,0,40-60,>50K
20-30,Private,Some-college,Divorced,Tech-support,White,0,40-60,<=50K
30-40,Private,HS-grad,Married-civ-spouse,Craft-repair,White,0,20-40,<=50K
20-30,Private,Some-college,Divorced,Adm-clerical,White,1,20-40,<=50K
50-60,Private,HS-grad,Married-civ-spouse,Adm-clerical,White,1,20-40,>50K
40-50,Self-emp-inc,Some-college,Married-civ-spouse,Exec-managerial,White,0,40-60,>50K
0-20,Private,Some-college,Never-married,Prof-specialty,White,0,20-40,<=50K
30-40,Private,Bachelors,Separated,Sales,Black,1,20-40,<=50K
20-30,Self-emp-not-inc,Bachelors,Married-civ-spouse,Sales,White,0,60-80,>50K
20-30,Private,Some-college,Never-married,Machine-op-inspct,White,0,20-40,<=50K
70-80,Private,Some-college,Married-civ-spouse,Prof-specialty,White,0,0-20,<=50K
20-30,Private,HS-grad,Never-married,Other-service,White,0,20-40,<=50K
30-40,Private,Assoc-acdm,Married-civ-spouse,Adm-clerical,White,0,20-40,<=50K
0-20,Private,11th,Never-married,Other-service,White,1,20-40,<=50K
30-40,Local-gov,7th-8th,Married-civ-spouse,Farming-fishing,White,0,20-40,<=50K
0-20,Private,HS-grad,Never-married,Sales,White,0,20-40,<=50K
50-60,Private,Bachelors,Married-civ-spouse,Other-service,White,0,20-40,<=50K
40-50,Private,HS-grad,Married-civ-spouse,Other-service,White,1,20-40,<=50K
50-60,Private,HS-grad,Married-civ-spouse,Sales,White,0,40-60,<=50K
40-50,Private,HS-grad,Divorced,Craft-repair,White,1,20-40,>50K
50-60,Private,HS-grad,Divorced,Sales,White,1,20-40,<=50K
40-50,Local-gov,HS-grad,Married-civ-spouse,Protective-serv,White,0,20-40,>50K
30-40,Private,Masters,Married-civ-spouse,Prof-specialty,White,0,40-60,<=50K
20-30,Private,9th,Never-married,Sales,White,0,20-40,<=50K
40-50,Federal-gov,Doctorate,Never-married,Prof-specialty,White,1,40-60,>50K
50-60,Private,Assoc-voc,Married-civ-spouse,Prof-specialty,White,0,20-40,<=50K
30-40,Private,Some-college,Divorced,Craft-repair,White,1,20-40,<=50K
20-30,Private,Some-college,Divorced,Machine-op-inspct,Black,1,20-40,<=50K
20-30,Private,HS-grad,Married-civ-spouse,Sales,Asian-Pac-Islander,1,20-40,<=50K
30-40,Local-gov,Bachelors,Married-civ-spouse,Protective-serv,White,0,20-40,>50K
20-30,Local-gov,Some-college,Never-married,Handlers-cleaners,White,0,40-60,<=50K
40-50,Self-emp-not-inc,Doctorate,Married-civ-spouse,Prof-specialty,White,0,40-60,>50K
30-40,Private,Some-college,Married-civ-spouse,Sales,White,0,40-60,>50K
40-50,Private,Assoc-acdm,Divorced,Exec-managerial,White,1,20-40,<=50K
30-40,Federal-gov,HS-grad,Never-married,Other-service,Black,0,20-40,<=50K
70-80,Private,Masters,Married-civ-spouse,Exec-managerial,White,0,20-40,>50K
40-50,Private,Bachelors,Married-civ-spouse,Exec-managerial,White,0,40-60,>50K
40-50,Self-emp-not-inc,Masters,Never-married,Prof-specialty,White,1,40-60,<=50K
0-20,Private,Some-college,Never-married,Tech-support,White,1,20-40,<=50K
20-30,Private,HS-grad,Never-married,Craft-repair,White,0,20-40,<=50K
30-40,Self-emp-inc,HS-grad,Married-civ-spouse,Craft-repair,White,0,20-40,>50K
20-30,Private,11th,Never-married,Handlers-cleaners,White,0,20-40,<=50K
30-40,Local-gov,HS-grad,Never-married,Adm-clerical,White,1,20-40,<=50K
40-50,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,White,0,20-40,<=50K
20-30,Private,Bachelors,Never-married,Sales,White,0,20-40,<=50K
30-40,Private,Prof-school,Married-civ-spouse,Prof-specialty,White,0,20-40,>50K
50-60,Self-emp-not-inc,HS-grad,Married-civ-spouse,Other-service,White,0,40-60,>50K
20-30,Private,Some-college,Married-civ-spouse,Sales,White,1,20-40,<=50K
30-40,Private,HS-grad,Never-married,Machine-op-inspct,White,1,20-40,<=50K
50-60,Private,9th,Married-civ-spouse,Handlers-cleaners,White,0,40-60,<=50K
50-60,Self-emp-inc,Some-college,Married-civ-spouse,Sales,White,0,40-60,<=50K
40-50,Local-gov,Assoc-voc,Married-civ-spouse,Craft-repair,Black,0,20-40,>50K
50-60,Private,Some-college,Married-civ-spouse,Sales,White,0,40-60,<=50K
20-30,Private,HS-grad,Never-married,Craft-repair,White,0,40-60,<=50K
20-30,Private,Some-college,Never-married,Other-service,White,1,20-40,<=50K
30-40,Private,Bachelors,Married-civ-spouse,Exec-managerial,White,0,40-60,<=50K
20-30,Private,Bachelors,Never-married,Exec-managerial,Black,0,20-40,<=50K
20-30,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,White,0,40-60,>50K
0-20,Private,Some-college,Never-married,Other-service,Black,0,20-40,<=50K
40-50,Private,Bachelors,Married-civ-spouse,Exec-managerial,White,1,20-40,>50K
